disease,symptoms,precautions,specialist,urgency
Hyphema,"blood in anterior chamber of eye, vision loss, eye pain, increased intraocular pressure","Elevate head of bed, eye shield, avoid aspirin, bed rest, surgical drainage if high pressure",Ophthalmologist,High
Hypocalcemia,"muscle cramps (tetany), perioral tingling, prolonged QT on ECG, seizures, Chvostek/Trousseau signs","IV calcium gluconate (severe), oral calcium + vitamin D, treat underlying cause (hypoparathyroidism)",Endocrinologist,High
Hypoglycemia,"shaking, sweating, palpitations, confusion, hunger, blurred vision, seizure if severe","Immediate oral glucose (15g), glucagon injection if unconscious, identify cause (insulinoma, diabetes meds)",Endocrinologist,High
Hypogonadism (Male),"low libido, erectile dysfunction, fatigue, decreased muscle mass, infertility, osteoporosis","Testosterone replacement (gels, injections), treat underlying cause (pituitary tumor), monitor PSA, bone density",Endocrinologist,Medium
Hypokalemia,"weakness, fatigue, muscle cramps, constipation, ECG changes (U waves, flat T)","Oral/IV potassium, magnesium repletion if needed, reduce diuretics, treat cause",Nephrologist,Medium
Hyponatremia,"nausea, headache, confusion, seizures, coma","Fluid restriction, hypertonic saline (if severe), treat underlying cause (SIADH, heart failure), monitor sodium",Nephrologist,High
Hypopituitarism,"fatigue, weight loss, low BP, infertility, cold intolerance, loss of body hair","Hormone replacement (cortisol, thyroid, sex hormones), treat underlying tumor, monitor electrolytes",Endocrinologist,High
Hypothermia,"shivering (stop if severe), confusion, slow pulse, slurred speech, loss of consciousness","Passive/external rewarming, warm IV fluids, avoid rough handling, EKG monitoring",Emergency Physician,High
Hypothyroidism,"fatigue, weight gain, cold intolerance, dry skin, depression","Levothyroxine, regular TSH monitoring, healthy diet, avoid iodine excess",Endocrinologist,Medium
Ichthyosis,"dry scaly skin, hyperkeratosis, itching, fissures, ectropion (if severe)","Moisturizers, keratolytics (urea/lactic acid), retinoids for severe, avoid harsh soaps",Dermatologist,Low
Ichthyosis Vulgaris,"dry scaly skin (fish-like scales), worse in winter, hyperkeratosis, itching, fissures","Moisturizers, keratolytics (urea/lactic acid), topical retinoids, avoid harsh soaps",Dermatologist,Low
Idiopathic Intracranial Hypertension (Pseudotumor Cerebri),"headache (worse morning), blurred vision, pulsatile tinnitus, transient visual obscurations, papilledema","Weight loss, acetazolamide, lumbar puncture (therapeutic), optic nerve sheath fenestration",Neurologist,High
Idiopathic Pulmonary Fibrosis,"progressive shortness of breath, dry cough, finger clubbing, fatigue, crackles on auscultation","Antifibrotics (pirfenidone, nintedanib), oxygen therapy, pulmonary rehab, lung transplant",Pulmonologist,High
Idiopathic Thrombocytopenic Purpura,"thrombocytopenia, petechiae, purpura, bruising, bleeding gums","Corticosteroids, IVIG, thrombopoietin agonists, rituximab, splenectomy if chronic",Hematologist,High
IgA Vasculitis (Henoch-Schönlein Purpura),"palpable purpura (buttocks/legs), arthritis/arthralgia, abdominal pain, hematuria","Supportive care, hydration, NSAIDs for joint pain, corticosteroids for severe renal/abdominal",Nephrologist,Medium
Immune Thrombocytopenia (ITP) (see above),,,,
Impetigo,"honey-colored crusted lesions, vesicles/bullae (bullous impetigo), redness, itching, regional lymphadenopathy","Topical mupirocin (limited), oral antibiotics (cephalexin) for extensive, hygiene, avoid scratching",Dermatologist,Low
Inclusion Body Myositis,"slowly progressive muscle weakness (wrist flexors, quadriceps), difficulty gripping, falls, dysphagia","No effective treatment, physical therapy, fall prevention, speech/swallow therapy",Rheumatologist,Medium
Influenza,"fever, cough, sore throat, fatigue, body aches","Rest, hydration, antivirals if severe, avoid contact",General Practitioner,Medium
Insomnia,"difficulty falling/staying asleep, early waking, daytime fatigue, irritability, poor concentration","Sleep hygiene, CBT-I, limit caffeine, melatonin if appropriate, treat underlying cause",General Practitioner,Low
Interstitial Cystitis (Bladder Pain Syndrome),"pelvic pain (worse with bladder filling), urgency, frequency, dyspareunia, pain relief after voiding","Dietary modifications (avoid acidic foods), physical therapy, pentosan polysulfate, amitriptyline",Urologist,Medium
Intracerebral Hemorrhage,"sudden severe headache, nausea, vomiting, neurological deficit (weakness, speech loss), decreased consciousness","Emergency BP control, reversal of anticoagulation, surgical evacuation if large, ICP monitoring",Neurologist,High
Iron Deficiency Anemia,"fatigue, pallor, cold hands/feet, brittle nails, pica","Oral iron supplements, dietary iron, treat underlying bleeding, vitamin C",Hematologist,Medium
Irritable Bowel Syndrome,"abdominal pain, bloating, diarrhea/constipation, mucus in stool, urgency","FODMAP diet, stress management, fiber, probiotics",Gastroenterologist,Low
Japanese Encephalitis,"acute encephalitis, fever, headache, seizures, movement disorders","Supportive care, no antiviral, vaccination for prevention, mosquito avoidance",Infectious Disease Specialist,High
Jaundice (Neonatal),"yellowish skin and eyes, poor feeding, lethargy, dark urine, pale stools","Phototherapy, hydration, exchange transfusion if severe, treat underlying cause (ABO, G6PD)",Pediatrician,Medium
Jaw Fracture,"pain on moving jaw, malocclusion, bruising (floor of mouth), swelling, numbness of lower lip","Surgical reduction and fixation (maxillofacial), soft diet, antibiotics, pain control",Oral Surgeon,High
Jock Itch (Tinea Cruris),"red, itchy rash in groin/thighs, scaling, ring-shaped border, worsens with sweating","Topical antifungals (clotrimazole), keep area dry, avoid tight clothing, wash towels separately",Dermatologist,Low
Juvenile Arthritis (Systemic),"daily fever (quotidian), salmon-pink rash, arthritis (joint pain/swelling), hepatosplenomegaly, serositis","NSAIDs, corticosteroids, biologics (tocilizumab), physical therapy, monitor for MAS",Rheumatologist,High
Kaposi's Sarcoma,"purple/brown plaques or nodules on skin/mucosa, oral lesions (hard palate), lymphedema, visceral involvement (lung, GI)","Treat underlying HIV (ART), local therapy (radiation, cryo), chemotherapy (liposomal doxorubicin)",Oncologist,High
Kawasaki Disease,"fever >5 days, conjunctivitis, rash, cervical lymphadenopathy, red tongue","IVIG, aspirin, echocardiogram, avoid live vaccines for 11 months",Pediatrician,High
Keratitis (Corneal Ulcer),"eye pain, redness, blurred vision, photophobia, foreign body sensation, corneal opacity","Topical antibiotics (bacterial) or antivirals (herpes), cycloplegics, pain control, urgent ophthalmology",Ophthalmologist,High
Kernicterus (Bilirubin Encephalopathy),"lethargy, poor feeding, high-pitched cry, opisthotonos, seizures, later cerebral palsy and hearing loss","Exchange transfusion, phototherapy (prevention), treat severe neonatal jaundice immediately",Pediatrician,High
Kidney Stones,"severe flank pain, hematuria, nausea, vomiting, dysuria","Hydration (>2L/day), avoid oxalate-rich foods, pain control, strain urine",Urologist,High
Kidney Stones (Calcium Oxalate),"severe flank pain, hematuria, nausea, vomiting, dysuria","Hydration (>2L/day), low-oxalate diet, thiazide diuretics, pain control, strain urine",Urologist,High
Klebsiella Pneumoniae Infection,"fever, cough, productive of thick red currant jelly sputum, lung abscess, shortness of breath","Antibiotics (carbapenems, amikacin), source control, treat underlying disease (alcoholism, DM)",Pulmonologist,High
Klinefelter Syndrome (XXY),"tall stature, small testes, gynecomastia, infertility, learning disabilities, decreased facial/body hair","Testosterone replacement, speech therapy, fertility options (TESE), monitor for breast cancer",Endocrinologist,Medium
Korsakoff Syndrome (Alcohol Amnestic),"severe short-term memory loss, confabulation, apathy, peripheral neuropathy, ataxia","Thiamine (IV then oral), alcohol abstinence, structured environment, treat underlying Wernicke's",Neurologist,High
Kuru,"progressive cerebellar ataxia, tremor, dementia, emotional instability (laughing sickness), early death","Supportive care, no cure, cannibalism cessation prevented, prion precautions",Infectious Disease Specialist,High
Kwashiorkor (Severe Protein Malnutrition),"edema (legs, face), distended abdomen, fatty liver, skin lesions (flaky paint), hair thinning, apathy","Gradual refeeding with protein/energy, micronutrients, treat infections, monitor electrolytes",Nutritionist,High
Kyphosis,"forward rounding of back, back pain, stiffness, fatigue, hunchback posture","Postural exercises, bracing, pain management, surgery for severe",Orthopedist,Medium
Kyphosis (Scheuermann's),"forward rounding of back (thoracic), back pain, stiffness, fatigue, hunchback posture","Postural exercises, bracing, pain management, surgery for severe",Orthopedist,Medium
Labyrinthitis,"sudden vertigo (spinning), nausea, vomiting, hearing loss, tinnitus, nystagmus","Vestibular suppressants (meclizine, benzodiazepines), corticosteroids, treat viral/bacterial cause",Otolaryngologist,Medium
Lactose Intolerance,"bloating, diarrhea, abdominal cramps, flatulence, nausea after dairy","Lactose-free diet, lactase supplements, calcium supplementation, reading labels",General Practitioner,Low
Laryngeal Cancer,"hoarseness, sore throat, cough, dysphagia, ear pain, neck mass","Smoking cessation, surgery (partial/total laryngectomy), radiation, speech therapy",Oncologist,High
Laryngitis,"hoarseness, loss of voice, throat tickle, dry cough, mild fever","Voice rest, hydration, humidifier, avoid irritants",General Practitioner,Low
Lassa Fever,"gradual fever, sore throat, retrosternal pain, proteinuria, bleeding (late)","Ribavirin, supportive care, isolation, contact tracing, rodent control",Infectious Disease Specialist,High
Lateral Epicondylitis (Tennis Elbow),"lateral elbow pain, weak grip, pain with wrist extension, tenderness, morning stiffness","Rest, ice, brace, physical therapy, corticosteroid injection",Orthopedist,Low
Lead Poisoning,"abdominal pain, constipation, fatigue, irritability, wrist drop","Remove source, chelation (EDTA, succimer), dietary calcium/iron, monitor blood lead",Toxicologist,High
Legionnaires' Disease,"high fever, chills, dry cough (later productive), shortness of breath, headache, confusion, hyponatremia","Antibiotics (azithromycin, levofloxacin), supportive care, identify source (water systems)",Pulmonologist,High
Leishmaniasis,"skin ulcers (cutaneous), fever, hepatosplenomegaly (visceral), pancytopenia, weight loss","Liposomal amphotericin B (visceral), antimonials (cutaneous), avoid sandflies",Infectious Disease Specialist,High
Leptospirosis,"high fever, severe headache, muscle pain, conjunctival suffusion, jaundice (Weil's disease)","Doxycycline or penicillin, supportive care, fluid management, rodent control",Infectious Disease Specialist,High
Leukemia,"fatigue, fever, easy bruising/bleeding, bone pain, weight loss","Chemotherapy, targeted therapy, blood transfusion, infection prevention",Oncologist,High
Leukoplakia,"white patch on oral mucosa (tongue, cheek), cannot be scraped off, benign but may progress to cancer","Biopsy, eliminate risk factors (tobacco, alcohol), surgical excision if dysplasia, regular follow-up",Dentist,Medium
Leukostasis (Hyperleukocytosis),"headache, blurred vision, tinnitus, dyspnea, priapism (in leukemia)","Emergency leukapheresis, hydroxyurea, treat underlying leukemia, hydration",Hematologist,High
Lewy Body Dementia,"cognitive fluctuations, visual hallucinations, parkinsonism, REM sleep behavior disorder, falls","Cholinesterase inhibitors, avoid antipsychotics, physical therapy, sleep safety",Neurologist,High
Lichen Planus,"purple polygonal papules, itching, oral white lacy streaks, nail thinning, genital lesions","Topical corticosteroids, oral retinoids, antihistamines, avoid trauma",Dermatologist,Medium
Listeriosis,"fever, myalgia, diarrhea (mild), then meningitis/sepsis in pregnant/elderly","IV ampicillin + gentamicin, supportive care, avoid unpasteurized dairy/ready-to-eat meats",Infectious Disease Specialist,High
Liver Abscess (Pyogenic),"fever, right upper quadrant pain, tender hepatomegaly, nausea, weight loss","Antibiotics (broad spectrum), percutaneous drainage, treat underlying biliary source",Gastroenterologist,High
Loiasis,"calabar swellings (migratory angioedema), subconjunctival worm migration, pruritus, eosinophilia","DEC or albendazole, avoid biting flies, treat cautiously (risk encephalitis if high microfilaria)",Infectious Disease Specialist,Medium
Lung Abscess,"fever, productive cough (purulent sputum), chest pain, night sweats, weight loss, hemoptysis","Antibiotics (long course), postural drainage, bronchoscopy if obstruction, surgery if refractory",Pulmonologist,High
Lung Cancer,"persistent cough, chest pain, weight loss, hemoptysis, shortness of breath","Smoking cessation, imaging, consult oncology, avoid carcinogens",Oncologist,High
Lung Cancer (Small Cell),"persistent cough, hemoptysis, chest pain, weight loss, paraneoplastic syndromes (SIADH, Lambert-Eaton)","Chemotherapy (platinum-etoposide), radiation (prophylactic cranial irradiation), immunotherapy, smoking cessation",Oncologist,High
Lupus (SLE),"malar rash, joint pain, fatigue, photosensitivity, kidney problems","Avoid sun, corticosteroids, immunosuppressants, monitor organ function",Rheumatologist,High
Lyme Disease,"erythema migrans rash, fever, fatigue, joint pain, headache","Doxycycline, tick checks, protective clothing, remove ticks promptly",Infectious Disease Specialist,Medium
Lymphedema,"swelling (arm or leg), feeling of heaviness, skin thickening (peau d'orange), recurrent cellulitis","Compression garments, manual lymphatic drainage, exercise, skin care, avoid trauma",Vascular Surgeon,Medium
Lymphogranuloma Venereum,"painless genital ulcer (primary), painful inguinal lymphadenopathy (bubo), proctocolitis (secondary), fever","Doxycycline for 21 days, treat sexual partners, safe sex, drainage of buboes",Infectious Disease Specialist,High
Lymphoma,"painless lymphadenopathy, fever, night sweats, weight loss, pruritus","Chemotherapy, radiation, immunotherapy, stem cell transplant",Oncologist,High
MERS-CoV,"fever, cough, shortness of breath, pneumonia, renal failure","Supportive care, isolation, no specific treatment, avoid camels, respiratory hygiene",Pulmonologist,High
Macular Degeneration,"central vision loss, wavy lines, difficulty reading, dark spot in center","AREDS2 vitamins, anti-VEGF injections, low vision aids, smoking cessation",Ophthalmologist,High
Macular Degeneration (Age-Related),"central vision loss, wavy lines, difficulty reading, dark spot in center","AREDS2 vitamins, anti-VEGF injections, low vision aids, smoking cessation",Ophthalmologist,High
Malabsorption (Celiac) - already included,,,,
Malaria,"cyclic fever, chills, sweats, headache, muscle pain","Prophylaxis for travelers, antimalarials, mosquito nets, prompt treatment",Infectious Disease Specialist,High
Malaria (Plasmodium falciparum),"cyclic fever, chills, sweats, headache, muscle pain, possible severe anemia, cerebral malaria","Prophylaxis for travelers, artemisinin-based combination therapy (ACT), mosquito nets, prompt treatment",Infectious Disease Specialist,High
Malignant Hyperthermia,"rigidity, hyperthermia, tachycardia, hypercapnia, rhabdomyolysis (after anesthesia)","Dantrolene, stop triggering anesthetics, cooling, oxygen, treat acidosis",Anesthesiologist,High
Mallory-Weiss Syndrome,"hematemesis (vomiting blood) after repeated retching, epigastric pain, melena, syncope","Supportive care, endoscopic hemostasis (clips, epinephrine), PPI, treat underlying vomiting",Gastroenterologist,High
Marburg Virus,"similar to Ebola: hemorrhagic fever, shock, multiorgan failure","Same as Ebola, supportive care, no specific antiviral, avoid fruit bats",Infectious Disease Specialist,High
Marfan Syndrome,"tall stature, long limbs, arachnodactyly, pectus deformity, lens dislocation, aortic root dilation","Beta-blockers, aortic imaging, avoid contact sports, surgery for aortic root",Cardiologist,High
Mastitis (Lactational),"breast pain, redness, swelling, warmth, fever, flu-like symptoms","Antibiotics (dicloxacillin), continued breastfeeding/pumping, warm compresses, hydration",Obstetrician,Medium
Mastocytosis,"urticaria pigmentosa (red-brown lesions that hive when stroked), flushing, abdominal pain, anaphylaxis, bone pain","Antihistamines (H1 and H2), mast cell stabilizers (cromolyn), avoid triggers (heat, alcohol), epinephrine auto-injector",Allergist,Medium
Measles,"high fever, cough, coryza, conjunctivitis, Koplik spots, rash","MMR vaccine, isolation, vitamin A, supportive care",Infectious Disease Specialist,High
Meckel's Diverticulum,"painless rectal bleeding (bright red or dark), abdominal pain (may mimic appendicitis), intestinal obstruction, nausea","Surgical resection (diverticulectomy), treat bleeding (endoscopic or surgical), IV fluids",Pediatric Surgeon,High
Medullary Sponge Kidney,"recurrent kidney stones, hematuria, urinary tract infections, flank pain, nephrocalcinosis","Hydration, treat infections, pain management, thiazide diuretics, avoid hypercalciuria",Nephrologist,Medium
Melanoma,"new or changing mole, asymmetry, irregular border, color variation, large diameter","Sun protection, regular skin checks, excision, sentinel lymph node biopsy",Oncologist,High
Meniere's Disease,"episodic vertigo (minutes to hours), fluctuating hearing loss (low frequency), tinnitus, aural fullness","Low-sodium diet, diuretics, betahistine (not FDA), vestibular rehabilitation, intratympanic steroids",Otolaryngologist,Medium
Meningioma (Brain Tumor),"headache (morning), seizures, focal neurological deficits (vision loss, weakness), personality changes","Surgical resection (if symptomatic), stereotactic radiosurgery, observation (if small and asymptomatic)",Neurosurgeon,Medium
Meningitis,"severe headache, stiff neck, fever, nausea, photophobia","Emergency antibiotics/virals, isolation, vaccination prevention",Infectious Disease Specialist,High
Meningitis (Bacterial),"severe headache, stiff neck, fever, nausea, photophobia, altered mental status","Emergency IV antibiotics (empiric then specific), dexamethasone, isolation, vaccination prevention",Infectious Disease Specialist,High
Meningococcal Disease,"fever, headache, stiff neck, petechial/purpuric rash, septic shock, meningitis","IV antibiotics (ceftriaxone), chemoprophylaxis for close contacts, vaccination (MenACWY, MenB)",Infectious Disease Specialist,High
Meniscus Tear,"knee pain, swelling, locking, catching, difficulty squatting","Rest, physical therapy, surgery if locking or instability, avoid pivoting",Orthopedist,Medium
Mesenteric Ischemia,"severe abdominal pain (out of proportion to exam), nausea, vomiting, diarrhea (bloody later), abdominal distension","Emergency surgery (revascularization or bowel resection), anticoagulation, IV fluids, CT angiography",General Surgeon,High
Metabolic Acidosis,"rapid breathing (Kussmaul), confusion, fatigue, headache, shock","Correct underlying cause (DKA, renal failure), IV bicarbonate if severe, monitor pH",Intensivist,High
Metabolic Alkalosis,"muscle twitching, hand tingling, nausea, confusion, arrhythmias","Replace volume (saline), correct hypokalemia, acetazolamide, treat vomiting/diuretic overuse",Nephrologist,Medium
Metastatic Bone Tumor,"bone pain (worse at night, relieved by rest), pathological fracture, hypercalcemia, spinal cord compression","Radiation, pain management (opioids, bisphosphonates), surgical stabilization, treat primary cancer",Oncologist,High
Methamphetamine Toxicity,"psychomotor agitation, hypertension, hyperthermia, paranoia, seizure","Benzodiazepines, aggressive cooling, IV fluids, antipsychotics for agitation, monitor rhabdomyolysis",Emergency Physician,High
Microscopic Polyangiitis,"glomerulonephritis, pulmonary hemorrhage, palpable purpura, mononeuritis, fever","Corticosteroids, rituximab or cyclophosphamide, plasma exchange if severe, vaccinate",Rheumatologist,High
Migraine,"throbbing headache,Severe headache, nausea, light sensitivity, aura, vomiting","Dark quiet room, hydration, triptans, avoid triggers",Neurologist,Medium
Mitral Valve Prolapse,"chest pain (atypical), palpitations, fatigue, dizziness, anxiety, mid-systolic click on auscultation","Beta-blockers (for symptoms), avoid stimulants, antibiotic prophylaxis not routinely, regular echocardiogram",Cardiologist,Low
Monkeypox,"fever, headache, lymphadenopathy, muscle aches, rash (vesicles/pustules), similar to smallpox","Supportive care, antiviral (tecovirimat), isolation, smallpox vaccine (JYNNEOS) for prevention",Infectious Disease Specialist,High
Mononucleosis,"severe fatigue, sore throat, fever, swollen lymph nodes, splenomegaly","Rest, hydration, avoid contact sports, acetaminophen, time",General Practitioner,Low
Morton's Neuroma,"burning pain in ball of foot (between 3rd-4th toes), tingling, numbness, sensation of pebble in shoe","Change footwear (wide toe box), metatarsal pads, corticosteroid injection, surgical neurectomy",Orthopedist,Low
Moyamoya Disease,"recurrent strokes or TIAs (children), headache, seizures, cognitive decline, involuntary movements","Surgical revascularization (bypass), antiplatelets, avoid dehydration, BP control",Neurosurgeon,High
Mucormycosis (Zygomycosis),"black eschar in nasal mucosa, facial swelling, sinus pain, fever, vision loss, cranial nerve deficits (in diabetics/immunocompromised)","IV liposomal amphotericin B, surgical debridement, control diabetes, hyperbaric oxygen",Infectious Disease Specialist,High
Multiple Myeloma,"bone pain (spine/ribs), fatigue (anemia), kidney failure, hypercalcemia, recurrent infections","Chemotherapy (VRd), stem cell transplant, bisphosphonates, supportive care",Oncologist,High
Multiple Sclerosis,"numbness, vision problems, fatigue, muscle weakness, balance issues","Disease-modifying therapy, physical therapy, avoid overheating, vitamin D",Neurologist,Medium
Mumps,"parotitis (swollen cheeks), fever, headache, testicular pain, hearing loss","Vaccination (MMR), supportive care, isolation, analgesics",General Practitioner,Medium
Muscular Dystrophy,"proximal weakness, calf pseudohypertrophy, Gower's sign, cardiomyopathy, respiratory insufficiency","Corticosteroids, physical therapy, contracture management, cardiac/respiratory monitoring",Neurologist,High
Myasthenia Gravis,"fatigable muscle weakness (ptosis, diplopia, dysphagia, limb weakness), worse with activity","Acetylcholinesterase inhibitors, immunosuppression, thymectomy, avoid certain drugs",Neurologist,High
Mycoplasma Pneumoniae (Walking Pneumonia),"dry cough (persistent), fever, sore throat, headache, ear pain, rash (erythema multiforme)","Macrolides (azithromycin) or doxycycline, supportive care, avoid close contact",Pulmonologist,Medium
Myelodysplastic Syndromes,"anemia, neutropenia, thrombocytopenia, fatigue, recurrent infections","Supportive care (transfusions), lenalidomide, azacitidine, stem cell transplant",Hematologist,High
Myelofibrosis,"fatigue, night sweats, fever, splenomegaly, bone pain","JAK2 inhibitors (ruxolitinib), transfusion support, splenectomy if severe, stem cell transplant",Hematologist,High
Myeloma,"bone pain (spine), fatigue, recurrent infections, kidney failure, hypercalcemia","Chemotherapy, steroids, bisphosphonates, stem cell transplant",Hematologist,High
Myocarditis,"chest pain, fever, fatigue, palpitations, shortness of breath, signs of heart failure","Supportive care (avoid NSAIDs), treat underlying cause (antivirals, immunosuppression), heart failure meds, mechanical support",Cardiologist,High
Myoclonus (Benign),"brief, shock-like muscle jerks (limbs, trunk), often triggered by action or sound, no loss of consciousness","Identify cause (metabolic, drug-induced), clonazepam or levetiracetam, avoid triggers, reassurance if benign",Neurologist,Low
Myopia (Nearsightedness),"blurred distance vision, squinting, eye strain, headaches, difficulty seeing road signs","Corrective lenses (glasses or contacts), refractive surgery (LASIK), atropine drops for progression, good lighting",Ophthalmologist,Low
Myxedema Coma (Severe Hypothyroidism),"hypothermia, bradycardia, hyponatremia, hypoventilation, coma, non-pitting edema","IV levothyroxine, corticosteroids, slow rewarming, treat precipitating infection, ventilatory support",Endocrinologist,High
NSCLC (Non-Small Cell Lung Cancer) - consider separate entry but overlapping with Lung Cancer; use generic Lung Cancer already there,,,,
Nail Fungus (Onychomycosis),"thickened nails, yellow/brown discoloration, crumbling, dystrophy, foul odor","Topical antifungal (ciclopirox), oral terbinafine, laser therapy, keep nails dry, proper foot hygiene",Dermatologist,Low
Narcolepsy,"excessive daytime sleepiness, cataplexy, sleep paralysis, hallucinations, disrupted night sleep","Stimulants, sodium oxybate, scheduled naps, good sleep hygiene",Sleep Specialist,Medium
Necrotizing Enterocolitis (Neonatal),"abdominal distension, bloody stools, feeding intolerance, bilious vomiting, lethargy, hypotension","Bowel rest, nasogastric decompression, IV antibiotics, surgery (perforation), careful feed advancement",Pediatric Surgeon,High
Necrotizing Fasciitis,"severe pain, skin discoloration, bullae, fever, crepitus","Emergency surgical debridement, IV antibiotics, ICU support, hyperbaric oxygen",Emergency Physician,High
Neuroblastoma (Childhood),"abdominal mass (firm, irregular), fever, bone pain (limping), proptosis (orbital ecchymosis), opsoclonus-myoclonus syndrome","Surgical resection, chemotherapy (platinum, cyclophosphamide), radiation, stem cell transplant (high risk)",Oncologist,High
Neurocysticercosis (Cysticercosis),"seizures (most common), headaches, hydrocephalus, focal neurological deficits, increased intracranial pressure","Antiparasitics (albendazole/praziquantel) plus corticosteroids, anticonvulsants, VP shunt for hydrocephalus",Neurologist,High
Neurofibromatosis Type 1,"café-au-lait spots (>6), neurofibromas (skin nodules), Lisch nodules (iris hamartomas), optic glioma, skeletal abnormalities (scoliosis)","Regular surveillance (MRI, eye exams), surgical excision of painful neurofibromas, treat hypertension, genetic counseling",Geneticist,Medium
Neuroleptic Malignant Syndrome,"fever, muscle rigidity, altered mental status, autonomic instability, elevated CK","Stop antipsychotics, dantrolene or bromocriptine, supportive care, cooling",Psychiatrist,High
Niemann-Pick Disease (Type A/B),"hepatosplenomegaly, failure to thrive, neurological deterioration (ataxia, dystonia), cherry-red spot, interstitial lung disease (type B)","Supportive care, enzyme replacement (for type B), miglustat (type C), genetic counseling, manage symptoms",Geneticist,High
Nipah Virus,"fever, headache, dizziness, encephalitis, respiratory symptoms, case fatality high","Supportive care, ribavirin (uncertain), strict isolation, avoid contact with pigs/bats",Infectious Disease Specialist,High
Nocardiosis,"cough, fever, chest pain, dyspnea (pulmonary), skin abscesses (cutaneous), brain abscess (disseminated)","IV sulfonamides (TMP-SMX) for months, surgical drainage of abscesses, treat immunocompromised",Infectious Disease Specialist,High
Non-Gonococcal Urethritis (NGU),"dysuria, urethral discharge (clear or mucoid), itching, frequency, no gonorrhea on culture","Azithromycin or doxycycline, treat sexual partners, safe sex, avoid urethral irritants",Urologist,Medium
Non-Hodgkin's Lymphoma,"enlarged lymph nodes, fever, night sweats, weight loss, abdominal pain","Chemotherapy (CHOP-like), rituximab, radiation, CAR-T for refractory",Oncologist,High
Norovirus Infection,"acute vomiting, watery diarrhea, low-grade fever, abdominal cramps, nausea","Oral rehydration, hand hygiene, isolation, bleach cleaning, avoid food prep",General Practitioner,Medium
Nuchal Cord (Umbilical Cord Around Neck),"decreased fetal movements, variable decelerations on CTG, meconium staining, possible umbilical cord compression","Antepartum surveillance, induction of labor if persistent, emergency C-section if severe, neonatal resuscitation",Obstetrician,High
Nystagmus (Congenital),"involuntary rhythmic eye movements (pendular or jerk), reduced vision, head tilt, oscillopsia (rare)","Correct refractive error, prisms, treat underlying cause (albinism, optic nerve hypoplasia), low vision aids",Ophthalmologist,Low
OCD,"obsessions (unwanted thoughts), compulsions (repetitive behaviors), distress, time-consuming","CBT with ERP, SSRIs, reduce reassurance seeking, mindfulness",Psychiatrist,Medium
Obesity Hypoventilation Syndrome (Pickwickian),"daytime sleepiness, obesity (BMI >30), hypoxia, hypercapnia, pulmonary hypertension","Weight loss, CPAP or BiPAP, treat obstructive sleep apnea, monitor blood gases",Pulmonologist,Medium
Obsessive-Compulsive Disorder (OCD),"obsessions (unwanted thoughts), compulsions (repetitive behaviors), distress, time-consuming","CBT with ERP, SSRIs, reduce reassurance seeking, mindfulness",Psychiatrist,Medium
Obstructive Sleep Apnea,"snoring, gasping during sleep, daytime sleepiness, morning headache, dry throat","CPAP, oral appliance, weight loss, avoid alcohol before bed, position therapy",Pulmonologist,Medium
Ocular Hypertension,"elevated intraocular pressure (IOP >21 mmHg), no optic nerve damage, no visual field loss","Monitor IOP, preventive treatment (latanoprost) if high risk, regular eye exams, avoid steroids",Ophthalmologist,Medium
Onchocerciasis,"skin nodules, severe itching, eye lesions (river blindness), lymphadenopathy","Ivermectin, avoid blackfly bites, community treatment, anti-inflammatory for ocular",Infectious Disease Specialist,High
Onchocerciasis (River Blindness),"skin nodules, severe itching, eye lesions (corneal opacities, glaucoma, blindness), lymphadenopathy","Ivermectin, avoid blackfly bites, community treatment, anti-inflammatory for ocular",Infectious Disease Specialist,High
Opioid Overdose,"respiratory depression, pinpoint pupils, unconsciousness, blue lips, bradycardia","Naloxone (IV/IM/intranasal), rescue breathing, call emergency, monitor for re-sedation",Emergency Physician,High
Opisthorchiasis,"similar to clonorchiasis: abdominal pain, hepatomegaly, diarrhea, cholangitis","Praziquantel, avoid raw fish, screen for cholangiocarcinoma, supportive care",Gastroenterologist,Medium
Organophosphate Poisoning,"salivation, lacrimation, urination, diarrhea, muscle fasciculations, miosis","Atropine, pralidoxime, airway support, decontamination, seizure control",Toxicologist,High
Ornithosis (Psittacosis),"fever, severe headache, dry cough, myalgia, relative bradycardia","Doxycycline, tetracycline, isolate birds, supportive care",Infectious Disease Specialist,Medium
Osteoarthritis,"joint pain, stiffness after rest, bone spurs, crepitus, reduced motion","Weight loss, exercise, NSAIDs, assistive devices",Orthopedist,Medium
Osteogenesis Imperfecta,"frequent fractures, blue sclerae, hearing loss, short stature, dentinogenesis imperfecta","Bisphosphonates, physical therapy, fracture prevention, rodding surgery",Orthopedist,High
Osteomalacia (Adult Rickets),"bone pain (hips, legs), muscle weakness (waddling gait), waddling gait, fractures, hypocalcemia","Vitamin D and calcium supplementation, treat underlying malabsorption, weight-bearing exercise",Endocrinologist,Medium
Osteomyelitis,"bone pain, fever, malaise, redness over bone, sinus tract draining pus","IV antibiotics (prolonged), surgical debridement, immobilization, pain control",Orthopedist,High
Osteoporosis,"fractures, loss of height, back pain, stooped posture, bone fragility","Calcium/vitamin D, weight-bearing exercise, bisphosphonates, fall prevention",Endocrinologist,Medium
